Symbol,Timeframe,RangeStartHour,RangeStartMinute,RangeStartHHMM,RangeDur,StratMode,RRR,RiskPct,MC_Seed,MC_Stress,MC_SpreadMult,MC_SlipPts,MC_DelayMs,MC_FailProb,MC_SignalsTotal,MC_SignalsSkipped,MC_SkipRate,Trades,WinTrades,WinRatePct,NetProfit,GrossProfit,GrossLoss,ProfitFactor,MaxDD_Pct,Sharpe,AvgSpreadPts_Exec,MC_EntryBufferPts_LastSignal,DeviationPts,RangeSizePts_Avg,RangeSizePts_Max,DaysWithRange,MC_SpreadMult_Min,MC_SpreadMult_Max,MC_SlipPts_Min,MC_SlipPts_Max,MC_DelayMs_Min,MC_DelayMs_Max,MC_FailProb_Min,MC_FailProb_Max,EntryFills,SlipFillVsRefPts_Avg,SlipFillVsReqPts_Avg,SlipFillVsRefPts_Max,SlipFillVsReqPts_Max,Profit_Long,Profit_Short,WinRate_Long,WinRate_Short,MaxConsecLosses
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,161,3.00,1.1377,28,757,0.030537,501,12,0.023952,487,229,47.02,1615.03,22028.03,-20413.00,1.08,15.85,1.33,185.75,55.54,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,28.00,0.00,28.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,331,2.00,1.1708,323,120,0.014554,497,9,0.018109,486,231,47.53,1900.19,22021.87,-20121.68,1.09,17.30,1.54,185.86,357.15,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,486,0.00,323.00,0.00,323.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,333,1.50,1.1203,139,171,0.046071,512,22,0.042969,488,236,48.36,2830.76,23843.51,-21012.75,1.13,15.02,2.22,186.60,163.05,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,139.00,0.00,139.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,495,2.50,1.3283,302,762,0.057964,522,35,0.067050,485,225,46.39,-125.98,18682.87,-18808.85,0.99,18.75,-0.12,185.78,367.66,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,485,0.00,302.00,0.00,302.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,327,3.00,1.2700,298,1654,0.020814,500,14,0.028000,484,225,46.49,1400.53,21127.51,-19726.98,1.07,14.88,1.20,185.80,352.01,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,484,0.00,298.00,0.00,298.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,1,1.50,1.0044,169,174,0.060656,517,29,0.056093,486,235,48.35,2767.64,23104.92,-20337.28,1.14,14.55,2.18,186.32,169.88,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,486,0.00,169.00,0.00,169.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,497,2.00,1.2535,104,718,0.004834,494,4,0.008097,488,232,47.54,2819.45,23601.08,-20781.63,1.14,12.70,2.18,185.98,154.69,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,104.00,0.00,104.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,499,1.50,1.1782,275,620,0.038778,511,25,0.048924,484,229,47.31,2083.78,21873.89,-19790.11,1.11,10.76,1.71,185.94,310.63,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,484,0.00,275.00,0.00,275.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,169,1.00,1.0360,134,469,0.009011,493,3,0.006085,488,231,47.34,2701.87,23366.29,-20664.42,1.13,12.55,2.11,185.85,141.20,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,134.00,0.00,134.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,329,2.50,1.2206,76,14,0.067687,514,26,0.050584,487,233,47.84,2321.99,22903.26,-20581.27,1.11,15.59,1.85,185.84,120.12,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,76.00,0.00,76.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,165,2.00,1.0880,143,722,0.024277,503,13,0.025845,488,234,47.95,2711.21,23093.36,-20382.15,1.13,13.21,2.12,185.79,160.61,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,143.00,0.00,143.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,163,2.50,1.1131,351,767,0.077410,526,45,0.085551,479,228,47.60,1355.38,20306.44,-18951.06,1.07,15.66,1.17,185.91,373.61,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,479,0.00,351.00,0.00,351.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,167,1.50,1.0623,4,623,0.053363,515,26,0.050485,487,232,47.64,2853.69,23632.11,-20778.42,1.14,13.61,2.22,185.85,16.45,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,4,1.00,1.0031,110,497,0.000589,490,0,0.000000,488,232,47.54,2708.65,23605.30,-20896.65,1.13,13.40,2.10,185.74,110.62,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,110.00,0.00,110.00,0.00,0.00,0.00,0.00,0
